"","Code","N","N_leaf","N_wood","N_bark","N_height","Leaf_size","Total_leaf_size","Leaf_thickness","Max_height","Height_at_5cm","Crown_ratio","Light_at_5cm","SLA","Bark_at_5cm","Bark_at_8mm","Wood_density","FG","Habit","Genus","Species","Family","Old.name","FG","Life.Form","New.name","NewCode","Authority","species.relative","genus.relative","classification80","classification70","classification66"
"1","ROMO",5,5,5,5,18,7137.9406782,7137.9406782,0.358,5,3.35014010032656,0.589257664980713,2.77011535833935,54.87762242,7.44744304189206,1.2717119264,0.668108318,"G","tree","Roupala","montana","Proteaceae","Roupala montana","S","tree","Roupala montana","ROMO","Aubl.","",NA,"G","G","G"
"2","STCA",12,11,6,12,62,2725.75013463333,2725.75013463333,0.283333333333333,10,5.08969197945465,0.618181340050752,3.11930295400015,78.4881736518182,3.27825709597092,0.64464726,0.564925532166667,"S","tree","Styrax","camporum","Styracaceae","Styrax camporum","S","tree","Styrax camporum","STCA","Pohl","",NA,"G","G","S"
"3","DIBU",5,5,5,5,11,10548.7854244,10548.7854244,0.48,6,2.73403826187462,0.457603903134045,3.58832178140999,65.283274516,12.1410396882697,1.5994222992,0.4187682084,"S","tree","Diospyros","burchelli","Ebenaceae","Diospyros burchelli","S","tree","Diospyros lasiocalyx","DILA","(Mart.) B.Walln.","",NA,"S","S","S"
"4","ALED",6,6,6,6,34,8439.55302483333,8439.55302483333,0.276944444444444,7,5.19542370440558,0.685402504508075,2.39665856199949,76.1100933433333,3.14593884678692,0.589049272,0.8238028135,"F","treelet","Alibertia","edulis","Rubiaceae","Alibertia edulis","F","treelet","Alibertia edulis","ALED","(Rich.) A.Rich. ex DC.","",NA,"F","F","F"
"5","COLA",15,11,6,15,70,1098.27294948333,7227.63432233333,0.165,15,7.88304229009702,0.593478213647206,3.29619549784204,95.21542781,8.76254490858404,0.704123128,0.516624202833333,"G","tree","Copaifera","langsdorffii","Fabaceae","Copaifera langsdorffii","G","tree","Copaifera langsdorffii","COLA","Desf.","",NA,"G","G","G"
"6","PIRO",5,5,5,5,6,8080.5445608,8080.5445608,0.494333333333333,8,2.44236095041797,0.612203329713766,4.38741431262997,58.0696591,12.9825376589977,1.2423001408,0.5773630776,"S","treelet","Piptocarpha","rotundifolia","Asteraceae","Piptocarpha rotundifolia","S","treelet","Piptocarpha rotundifolia","PIRO","(Less.) Baker","",NA,"S","S","S"
"7","PLPO",11,10,5,8,39,2983.34535372,2983.34535372,0.256666666666667,10,4.49270901907326,0.665278321679407,3.38335055766651,77.740516267,9.18447856124735,1.3679510304,0.6277457042,"S","tree","Plenckia","populnea","Celastraceae","Plenckia populnea","S","tree","Plenckia populnea","PLPO","Reissek","",NA,"S","S","S"
"8","BYCO",5,5,5,5,7,2790.4772316,2790.4772316,0.323333333333333,6,4.06798773670187,0.538199363360654,2.5511449556217,81.761138718,9.27485457708034,1.2699546736,0.6895979772,"S","tree","Byrsonima","coccolobifolia","Malpighiaceae","Byrsonima coccolobifolia","S","tree","Byrsonima coccolobifolia","BYCO","Kunth","",NA,"S","S","S"
"9","DARA",7,5,5,7,91,930.09073188,930.09073188,0.309333333333333,12,7.57234878376087,0.430072348894188,2.88862508428146,102.42494235,5.89220418169996,1.0949254416,0.4262348364,"G","tree","Daphnopsis","racemosa","Thymelaeaceae","Daphnopsis racemosa","G","tree","Daphnopsis racemosa","DARA","Griseb.","",NA,"G","G","G"
"10","BARU",5,5,5,5,5,5797.3977878,5797.3977878,0.436,3.95,NA,0.491847570595072,NA,86.329107008,0,0.944977568,0.6177401052,"S","shrub","Bauhinia","rufa","Fabaceae","Bauhinia rufa","S","shrub","Bauhinia rufa","BARU","(Bong.) Steud.","",NA,"S","S","S"
"11","MYLI",5,5,5,5,10,2814.9091466,2814.9091466,0.356666666666667,5.35,3.19927933931752,0.743899655696743,3.05402500630475,69.886893456,9.38538730634198,1.6037187424,0.5201239562,"G","tree","Myrcia","lingua","Myrtaceae","Myrcia lingua","S","tree","Myrcia guianensis","MYRCGUI","(Aubl.) DC.","",NA,"G","G","G"
"12","TEGL",10,7,5,9,60,3129.3462854,3129.3462854,0.272,16,7.31574489524888,0.586533050752701,3.09948532030474,77.17252765,6.61139594917424,0.9133298992,0.7036905874,"F","tree","Terminalia","glabrescens","Combretaceae","Terminalia glabrescens","G","tree","Terminalia glabrescens","TEGL","Mart.","",NA,"F","F","F"
"13","LAHA",7,6,5,6,143,2026.463575,2026.463575,0.24,8,5.75278581798379,0.842983679442113,2.31432164595213,125.033330383333,2.14691091738256,0.654625864,0.5467109092,"F","treelet","Lacistema","hasslerianum","Lacistemataceae","Lacistema hasslerianum","G","treelet","Lacistema hasslerianum","LAHA","Chodat","",NA,"G","G","F"
"14","COSU",5,5,5,5,6,1506.6577282,10213.4279242,0.366,7,2.30230335991024,0.604832193250405,3.44940731833799,62.273669934,12.9957370861946,1.6337263248,0.4494212164,"S","treelet","Connarus","suberosus","Connaraceae","Connarus suberosus","S","treelet","Connarus suberosus","COSU","Planch.","",NA,"S","S","S"
"15","STAD",5,5,5,5,6,352.7775444,43173.583328,0.220666666666667,5,2.7743176896553,0.661194747281704,4.05553850778399,91.598996958,8.48925203667742,1.888065584,0.4655286348,"S","tree","Stryphnodendron","adstringens","Fabaceae","Stryphnodendron adstringens","S","tree","Stryphnodendron adstringens","STAD","(Mart.) Coville","",NA,"S","S","S"
"16","ANCO",6,6,6,6,16,4662.72084433333,4662.72084433333,0.465555555555556,9,5.00941201525846,0.577667660015294,3.7053544948685,72.9540577516667,7.79726313399632,1.84269646133333,0.3997264335,"S","tree","Annona","coriacea","Annonaceae","Annona coriacea","S","tree","Annona coriacea","ANCO","Mart.","",NA,"S","S","S"
"17","CASY",15,11,6,12,90,981.40981375,981.40981375,0.170555555555556,10,6.23448401965903,0.505332148322343,2.59520343079191,98.72325622,4.0722983196807,1.01158087866667,0.6609211425,"F","tree","Casearia","sylvestris","Salicaceae","Casearia sylvestris","F","tree","Casearia sylvestris","CASY","Sw.","",NA,"G","F","F"
"18","MAEL",12,10,5,12,124,1365.12865116,12615.0870676,0.263333333333333,14,6.72520024592898,0.653966551715941,3.01850523649437,79.141775581,3.39097850886884,1.0044992272,0.6310054742,"F","tree","Matayba","elaeagnoides","Sapindaceae","Matayba elaeagnoides","G","tree","Matayba elaeagnoides","MAEL","Radlk.","",NA,"G","F","F"
"19","ZARH",5,5,5,5,10,452.40132848,8017.2558074,0.22,12,7.86900675946689,0.51173944895684,3.59245550879128,98.154673632,2.85377717825604,0.9204824336,0.5554509776,"F","tree","Zanthoxylum","rhoifolium","Rutaceae","Zanthoxylum rhoifolium","G","tree","Zanthoxylum rhoifolium","ZARH","Lam.","",NA,"G","F","F"
"20","MILI",10,9,5,9,94,1308.9584178,1308.9584178,0.251333333333333,8,5.08178571401966,0.715952156261367,3.12912118900867,92.6703720466667,5.1426940492897,1.0285822528,0.6419342322,"G","treelet","Miconia","ligustroides","Melastomataceae","Miconia ligustroides","S","treelet","Miconia ligustroides","MILI","(DC.) Naudin","",NA,"G","G","G"
"21","ERGR",10,10,5,10,23,2802.5984542,13171.9253372,0.376666666666667,17,3.2060768324394,0.607908284393285,3.36507068827841,73.0632332,13.7595232325069,1.9954520688,0.3877375974,"S","tree","Eriotheca","gracilipes","Malvaceae","Eriotheca gracilipes","S","tree","Eriotheca gracilipes","ERGR","(K.Schum.) A.Robyns","",NA,"S","S","S"
